12:17:53 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:18:11 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:18:41 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA140423,Avatar,200 | Status: Success | Server Response: Movie Slots Added
12:21:45 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:22:09 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,200 | Status: Success | Server Response: Movie Slots Added
12:22:32 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
12:23:11 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Titanic,100 | Status: Success | Server Response: Movie Slots Added
12:26:55 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:27:12 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,1000 | Status: Success | Server Response: Movie Slots Added
12:27:18 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:27:18 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,1000 | Status: Success | Server Response: Movie Slots Added
12:27:33 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avengers,100 | Status: Success | Server Response: Movie Slots Added
12:31:07 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:31:21 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:31:26 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA120423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
12:31:26 AM | Request type:Add Movie Slots | Request Parameter: ATWA1234,ATWA130423,Avatar,100 | Status: Success | Server Response: Movie Slots Added
